iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
73,5902,6.0815463,97.312256,5619,27,284138746,0.6567694701037665,0.0
74,5970,6.038555,97.26269,5687,27,287677442,0.6554487528567414,0.0
75,6054,5.975586,97.315285,5771,27,291189253,0.648096105812693,0.0
76,6112,5.904183,97.33607,5828,28,294697609,0.6305297676614866,0.0
77,6174,5.810386,97.354004,5889,29,298154233,0.6196374308974536,0.0
78,6246,5.7660975,97.406845,5961,29,301558814,0.6122663058376531,0.0
79,6309,5.6979036,97.50207,6022,31,304948313,0.6022037921855025,0.0
80,6389,5.636631,97.53595,6102,31,308332722,0.5863523183658745,0.0
81,6467,5.642162,97.53148,6180,31,311701822,0.5992937343297892,0.0
82,6536,5.569729,97.37739,6248,32,315062674,0.5711065223370458,0.0
83,6597,5.5246377,97.37881,6307,34,318382883,0.5689381826395622,0.0
84,6669,5.5112696,97.344765,6377,36,321663001,0.5599082060845826,0.0
85,6728,5.4440536,97.31351,6436,36,324921740,0.5475543326279163,0.0
86,6808,5.458875,97.336845,6515,37,328171572,0.5434011147365264,0.0
87,6875,5.435522,97.27889,6582,37,331425483,0.5464314347808549,0.0
88,6950,5.4134145,97.16642,6657,37,334676944,0.5363401896237032,0.0
89,7009,5.4001493,97.18081,6716,37,337930170,0.5471295921065771,0.0
90,7078,5.4019985,97.18822,6784,38,341170192,0.5420123290169223,0.0
91,7155,5.3165226,97.08146,6861,38,344402915,0.5258290999802132,0.0
92,7225,5.3270993,97.08079,6931,38,347640047,0.5218385671053649,0.0
93,7289,5.3203397,97.06313,6994,39,350870492,0.5278400845764284,0.0
94,7346,5.2968345,97.04838,7050,40,354057629,0.5235600333347664,0.0
95,7418,5.259034,96.997345,7121,41,357210663,0.5073214232862309,0.0
96,7482,5.174345,97.06615,7184,42,360340808,0.4923977226678271,0.0
97,7550,5.1788745,97.00754,7250,44,363447295,0.4981432120508587,0.0
98,7613,5.183185,96.99932,7311,46,366548230,0.4897135072653301,0.0
99,7678,5.162415,96.99474,7376,46,369600651,0.4845064775325239,0.0
100,7730,5.1314483,96.934975,7427,47,372624759,0.4767555606334274,0.0
101,7802,5.1219,96.98118,7499,47,375629545,0.4832020795350585,0.0
102,7859,5.097473,96.97409,7556,47,378645353,0.4688346996246355,0.0
103,7924,5.0962787,96.89828,7621,47,381646924,0.4748849283550538,0.0
104,7997,5.0709786,96.86849,7692,49,384632497,0.4630219847558824,0.0
105,8052,5.0567183,96.852486,7747,49,387596013,0.467755495327227,0.0
106,8119,4.964877,96.812035,7813,50,390523754,0.448009644413998,0.0
107,8174,4.9629364,96.842766,7866,52,393393366,0.437065342586976,0.0
108,8235,4.953948,96.82968,7926,53,396217895,0.4392488900829928,0.0
109,8287,4.934263,96.81995,7977,54,399003521,0.4283948149099555,0.0
110,8352,4.845958,96.83016,8041,55,401703600,0.402853503210189,0.0
111,8405,4.8291006,96.84391,8090,59,404379071,0.4023736737396532,0.0
112,8468,4.8068194,96.79506,8152,60,406966103,0.384470154700213,0.0
113,8512,4.789991,96.75715,8196,60,409540397,0.3825534337098381,0.0
114,8558,4.807445,96.70164,8242,60,412100593,0.3925449894225101,0.0
115,8621,4.7600856,96.72875,8304,61,414638063,0.3809530437790427,0.0
116,8667,4.749595,96.724525,8350,61,417162123,0.3741377231815859,0.0
117,8731,4.7198997,96.722946,8414,61,419651988,0.3739628075545339,0.0
118,8779,4.720804,96.7082,8462,61,422133321,0.3631559880513385,0.0
119,8824,4.701452,96.73039,8506,62,424577308,0.3622049639351922,0.0
120,8872,4.667924,96.727715,8552,64,426973109,0.3465313459031292,0.0
121,8924,4.685996,96.741234,8604,64,429337083,0.3527462502142949,0.0
122,8970,4.651825,96.73778,8649,65,431683486,0.3385275169696943,0.0
123,9004,4.660649,96.72611,8681,67,433996275,0.3420033694156967,0.0
124,9049,4.6240454,96.75742,8725,68,436246789,0.3346796597875038,0.0
125,9103,4.5691175,96.77518,8779,68,438441848,0.3121285196861507,0.0
126,9142,4.5352635,96.85269,8818,68,440599888,0.3055914028859906,0.0
127,9183,4.5066514,96.81595,8858,69,442694931,0.3013242272318592,0.0
128,9227,4.475823,96.80883,8902,69,444739346,0.2949839700965961,0.0
129,9268,4.445138,96.80848,8942,70,446747377,0.2878702281672334,0.0
130,9315,4.4049363,96.79512,8989,70,448748843,0.2739045443604889,0.0
131,9351,4.4233828,96.80462,9024,71,450741502,0.2840105494816942,0.0
132,9389,4.37091,96.804665,9060,73,452718337,0.2711942946827614,0.0
133,9434,4.3723984,96.79385,9104,74,454675848,0.2699176182116851,0.0
134,9471,4.344163,96.80477,9140,75,456613037,0.2652474030001152,0.0
135,9505,4.3215013,96.802246,9174,75,458499984,0.2606884293547926,0.0
136,9553,4.304392,96.80531,9222,75,460353507,0.2479507337435178,0.0
137,9587,4.274994,96.78834,9252,79,462176604,0.2397668585114537,0.0
138,9619,4.2648797,96.78842,9282,81,463943466,0.2388822110466802,0.0
139,9658,4.251659,96.7792,9321,81,465667756,0.2404884001207122,0.0
140,9692,4.215263,96.79271,9355,81,467364822,0.2268966604992416,0.0
141,9734,4.1880913,96.75385,9396,82,469032015,0.2195822434013526,0.0
142,9757,4.1991296,96.76244,9419,82,470629352,0.2178491462291166,0.0
143,9791,4.1884446,96.78584,9452,83,472180482,0.2079162203542622,0.0
144,9829,4.1386123,96.77468,9490,83,473721787,0.2008552371374034,0.0
145,9857,4.1366796,96.76981,9518,83,475236124,0.2002881728882588,0.0
146,9880,4.118204,96.7553,9537,87,476650651,0.1894905651759773,0.0
147,9914,4.1135697,96.73721,9571,87,477999434,0.1766344641465803,0.0
148,9933,4.0936403,96.74982,9589,88,479306382,0.1800888032590891,0.0
149,9960,4.0777555,96.776794,9614,90,480570275,0.1695944066697382,0.0
