iteration,games_started,avg_loss,avg_game_length,wins,draws,nodes_expanded,avg_illegal_prob,acpl
103,5133,2.541221,151.179,3853,1024,385268359,0,0.0
104,5182,2.5238743,151.05887,3894,1032,388723116,0,0.0
105,5245,2.519339,150.90118,3947,1042,392146334,0,0.0
106,5279,2.5283828,150.93748,3970,1053,395596667,0,0.0
107,5315,2.5224373,150.99821,3998,1061,399053490,0,0.0
108,5357,2.5284204,151.33229,4024,1077,402487785,0,0.0
109,5407,2.5227048,151.12657,4066,1085,405909752,0,0.0
110,5453,2.520883,151.15585,4103,1094,409339237,0,0.0
111,5501,2.5393422,150.9981,4144,1101,412763957,0,0.0
112,5532,2.5296414,150.91963,4169,1107,416195825,0,0.0
113,5571,2.5294523,151.17554,4197,1118,419625460,0,0.0
114,5619,2.5289383,151.23718,4234,1129,423051925,0,0.0
115,5669,2.5369174,151.46149,4271,1142,426475299,0,0.0
116,5706,2.528347,151.55542,4300,1150,429917944,0,0.0
117,5752,2.5270247,151.7067,4332,1164,433356422,0,0.0
118,5788,2.5283363,151.43962,4366,1166,436788778,0,0.0
119,5825,2.521012,151.45035,4394,1175,440224022,0,0.0
120,5872,2.5298736,151.61378,4431,1185,443650430,0,0.0
121,5911,2.531679,151.81131,4459,1196,447074311,0,0.0
122,5955,2.523348,151.86507,4492,1207,450500141,0,0.0
123,6007,2.532224,151.90976,4533,1218,453924899,0,0.0
124,6044,2.5343165,152.0,4560,1228,457361833,0,0.0
125,6093,2.5284913,152.10793,4595,1242,460781283,0,0.0
126,6138,2.5346262,152.17528,4628,1254,464217153,0,0.0
127,6171,2.5407054,152.31548,4651,1264,467656848,0,0.0
128,6210,2.5399442,152.22404,4685,1269,471084873,0,0.0
129,6253,2.5240326,152.26613,4719,1278,474510861,0,0.0
130,6300,2.5380359,152.55212,4751,1293,477934130,0,0.0
131,6348,2.5403113,152.62852,4788,1304,481353059,0,0.0
132,6380,2.5385072,152.75294,4808,1316,484795721,0,0.0
133,6423,2.5173125,152.78076,4839,1328,488220268,0,0.0
134,6467,2.522614,152.69844,4877,1334,491622702,0,0.0
135,6517,2.5335953,152.6285,4920,1341,495015074,0,0.0
136,6562,2.5300162,152.74928,4953,1353,498409630,0,0.0
137,6599,2.5355475,152.72064,4982,1361,501812000,0,0.0
138,6649,2.52863,152.73769,5019,1374,505198253,0,0.0
139,6677,2.5376334,152.86264,5037,1384,508612219,0,0.0
140,6717,2.5327468,152.80684,5069,1392,512012760,0,0.0
141,6762,2.5302734,152.9751,5101,1405,515385692,0,0.0
142,6806,2.5282698,153.04504,5134,1416,518752422,0,0.0
143,6857,2.533871,153.19861,5171,1430,522119763,0,0.0
144,6895,2.5356421,153.20395,5199,1440,525487417,0,0.0
145,6930,2.519931,153.17232,5229,1445,528856282,0,0.0
146,6986,2.5358183,153.13818,5273,1457,532208038,0,0.0
147,7023,2.535033,153.20305,5301,1466,535581354,0,0.0
148,7066,2.515376,153.18062,5337,1473,538935442,0,0.0
149,7112,2.5262942,153.25905,5368,1488,542272169,0,0.0
150,7147,2.5211606,153.34059,5396,1495,545621177,0,0.0
151,7188,2.5362551,153.34001,5426,1506,548956082,0,0.0
152,7239,2.5397105,153.35486,5467,1516,552277618,0,0.0
153,7274,2.528857,153.25107,5497,1521,555614222,0,0.0
154,7325,2.531145,153.34447,5533,1536,558948291,0,0.0
155,7366,2.530626,153.33783,5564,1546,562292186,0,0.0
156,7401,2.539243,153.19916,5596,1549,565624965,0,0.0
157,7446,2.5295844,153.2121,5630,1560,568948946,0,0.0
158,7494,2.5261896,153.41808,5662,1576,572282314,0,0.0
159,7524,2.5294993,153.56728,5681,1587,575634685,0,0.0
160,7564,2.523547,153.53955,5712,1596,578971311,0,0.0
161,7605,2.5274003,153.6292,5741,1608,582307031,0,0.0
162,7639,2.529704,153.5724,5771,1612,585640800,0,0.0
163,7681,2.5247927,153.68108,5801,1624,588977357,0,0.0
164,7730,2.5273702,153.86406,5831,1643,592303095,0,0.0
165,7773,2.5237997,153.86337,5861,1656,595645878,0,0.0
166,7816,2.5305502,153.90662,5894,1666,598979685,0,0.0
167,7865,2.5161197,153.92023,5928,1681,602300526,0,0.0
168,7903,2.535746,153.93436,5958,1689,605639877,0,0.0
169,7937,2.522642,153.93985,5988,1693,608969647,0,0.0
170,7978,2.5352125,153.93396,6020,1702,612288376,0,0.0
171,8017,2.5214844,153.93378,6046,1715,615606620,0,0.0
172,8064,2.5184753,153.85194,6084,1724,618920973,0,0.0
173,8098,2.5150352,153.85808,6108,1734,622236850,0,0.0
174,8136,2.5201917,153.91219,6136,1744,625536346,0,0.0
175,8183,2.5347085,154.07278,6167,1760,628823075,0,0.0
176,8219,2.526225,154.1159,6192,1771,632120274,0,0.0
177,8262,2.514186,154.17125,6223,1783,635407694,0,0.0
178,8303,2.5219607,154.24979,6254,1793,638693088,0,0.0
179,8341,2.523565,154.2888,6283,1802,641984854,0,0.0
180,8377,2.5247197,154.28888,6313,1808,645273530,0,0.0
181,8413,2.5071545,154.3435,6339,1818,648556649,0,0.0
182,8459,2.5268059,154.41899,6374,1829,651836630,0,0.0
183,8513,2.5238376,154.64151,6411,1846,655111843,0,0.0
184,8558,2.5148818,154.65479,6445,1857,658406361,0,0.0
185,8594,2.5216877,154.59691,6472,1866,661697527,0,0.0
186,8634,2.5155165,154.45703,6507,1871,664961581,0,0.0
187,8671,2.5166824,154.46524,6536,1879,668237627,0,0.0
188,8705,2.5302672,154.481,6563,1886,671504008,0,0.0
189,8749,2.5207236,154.57448,6594,1899,674739698,0,0.0
190,8786,2.517233,154.615,6622,1908,677966346,0,0.0
191,8827,2.5188062,154.68674,6654,1917,681168845,0,0.0
192,8868,2.5155036,154.75035,6684,1928,684369174,0,0.0
193,8910,2.5164006,154.77097,6718,1936,687565090,0,0.0
194,8949,2.5141056,154.77039,6747,1946,690758680,0,0.0
195,8988,2.5143747,154.8052,6773,1959,693949514,0,0.0
196,9028,2.5217526,154.85887,6805,1967,697135088,0,0.0
197,9074,2.511026,154.95067,6836,1982,700325765,0,0.0
198,9114,2.5130417,154.88992,6869,1989,703501824,0,0.0
199,9157,2.5251334,154.75374,6906,1995,706670063,0,0.0
200,9193,2.521334,154.76625,6934,2003,709844372,0,0.0
201,9234,2.5158422,154.73068,6965,2013,713019291,0,0.0
202,9277,2.5189419,154.81964,6994,2027,716176029,0,0.0
203,9325,2.5090013,154.79083,7034,2035,719314964,0,0.0
204,9354,2.5304961,154.81392,7057,2041,722479456,0,0.0
205,9403,2.5137124,154.83754,7094,2053,725633558,0,0.0
206,9436,2.5193365,154.8549,7120,2060,728788144,0,0.0
207,9481,2.512439,154.80986,7156,2069,731923126,0,0.0
208,9518,2.529189,154.73969,7189,2073,735059311,0,0.0
209,9561,2.5232496,154.77861,7218,2087,738190432,0,0.0
210,9599,2.518891,154.77705,7248,2095,741325999,0,0.0
211,9631,2.5003278,154.8544,7269,2106,744451877,0,0.0
212,9677,2.5093982,154.80055,7306,2115,747567329,0,0.0
213,9709,2.525925,154.82726,7328,2125,750696755,0,0.0
214,9749,2.5206559,154.80954,7359,2134,753816744,0,0.0
215,9788,2.5154119,154.84128,7387,2145,756947502,0,0.0
216,9822,2.5173497,154.82993,7415,2151,760074524,0,0.0
217,9855,2.5272756,154.90552,7437,2162,763197859,0,0.0
218,10114,2.6522453,10.666667,7440,2162,767377957,0,149.73975
219,10117,2.6766446,25.333334,7443,2162,771522756,0,214.77321
220,10127,2.6663556,61.5,7453,2162,775602399,0,239.09692
221,10145,2.6472094,90.5,7471,2162,779607947,0,250.95364
222,10160,2.6331515,105.32653,7485,2163,783622367,0,254.93475
223,10186,2.6167781,126.13333,7500,2174,787644063,0,251.77367
224,10232,2.6054003,154.17355,7522,2198,791673085,0,234.62141
225,10273,2.5991478,170.45062,7533,2228,795737919,0,232.3746
226,10318,2.5899858,188.79227,7541,2265,799789943,0,232.71939
227,10351,2.5859876,199.93333,7547,2292,803826894,0,235.3642
228,10396,2.5840914,208.54736,7563,2321,807889940,0,234.39075
229,10419,2.5773032,213.0,7572,2335,811907117,0,249.30309
230,10450,2.585007,217.96165,7584,2354,815916745,0,241.37791
231,10475,2.5803592,217.51373,7593,2370,819915191,0,253.70728
232,10507,2.5767374,217.64899,7606,2389,823896277,0,258.35025
233,10545,2.5714853,218.57834,7619,2414,827913418,0,246.75562
234,10581,2.5722888,219.1851,7634,2435,831916179,0,229.51134
235,10615,2.5712585,220.81151,7643,2460,835917524,0,223.24294
236,10645,2.5692961,222.20973,7652,2481,839878407,0,229.2825
237,10677,2.5682957,223.87279,7659,2506,843832171,0,232.00645
238,10715,2.5690017,226.77649,7666,2537,847804975,0,235.92436
239,10741,2.566443,227.6127,7674,2555,851781913,0,235.26239
240,10773,2.5664728,227.77492,7683,2578,855731792,0,230.93011
241,10799,2.561237,227.76308,7692,2595,859701506,0,235.52097
242,10844,2.5615146,229.52797,7702,2630,863661742,0,225.20906
243,10883,2.5632288,230.60233,7712,2659,867612519,0,217.55783
244,10917,2.5577874,231.43796,7724,2681,871574325,0,225.67363
245,10942,2.560153,231.48737,7730,2700,875523950,0,229.91783
246,10973,2.5611403,231.61021,7741,2720,879483075,0,232.41815
247,11008,2.5633738,231.55519,7754,2742,883423638,0,230.86539
248,11043,2.560152,231.7425,7762,2769,887367891,0,236.43512
249,11074,2.5600903,231.86812,7775,2787,891320307,0,237.50117
250,11106,2.560414,232.43619,7784,2810,895274025,0,247.37982
251,11138,2.55229,232.98344,7791,2835,899210068,0,263.78705
252,11174,2.5501537,233.18439,7801,2861,903154653,0,260.59583
253,11203,2.5526304,233.16667,7810,2881,907101464,0,272.7145
254,11235,2.5501266,233.08185,7823,2900,911048326,0,263.86377
255,11277,2.5476043,233.24443,7836,2929,914983456,0,266.46774
256,11314,2.5474317,233.8404,7843,2959,918902430,0,254.61525
257,11344,2.5478213,234.03973,7851,2981,922801827,0,259.02725
258,11388,2.5480332,233.71887,7867,3009,926724786,0,238.91507
259,11419,2.5507832,233.6361,7880,3027,930655153,0,257.21857
260,11440,2.5531685,233.31453,7888,3040,934549434,0,257.34122
261,11479,2.550611,233.68349,7898,3069,938441911,0,253.76515
262,11512,2.5458734,233.58173,7911,3089,942334936,0,258.49854
263,11541,2.5471265,233.54405,7920,3109,946235967,0,270.54437
264,11575,2.5468156,233.5485,7929,3134,950127427,0,274.4531
265,11615,2.5468457,233.74667,7941,3162,954009999,0,278.54346
266,11643,2.5466585,233.99673,7947,3184,957883287,0,276.7058
